producto,ciudad,2020,2022,2023,2024,2025
Chócolo mazorca,MEDELLÍN,,81.8474167110903,9.75660754079055,-14.138222487103668,28.221023717929185
Chócolo mazorca,MONTERÍA,,58.55293461122821,14.631326546431733,-2.0412368131089265,-6.796227711809399
Chócolo mazorca,NEIVA,,46.791243943755,2.924567840415282,10.412500732770136,-5.487248765581398
Chócolo mazorca,PASTO,,62.065588656676084,2.8590864528520887,-3.7846288554965524,-3.4495486212571036
Chócolo mazorca,POPAYÁN,,66.0106676113998,-5.8749733585856445,-11.938966056301226,5.7090239410681365
Chócolo mazorca,SAN JOSÉ DE CÚCUTA,,inf,-2.208418926917588,3.162491027788228,18.8453951766826
Chócolo mazorca,SANTA MARTA,,71.74633431085044,7.576132706115368,-100.0,inf
Chócolo mazorca,SINCELEJO,,75.34135189191839,1.0956651447916244,2.106519488694314,6.752645324573936
Chócolo mazorca,TUNJA,,41.70371615940809,9.03241802516581,7.06093743034768,6.571106968584894
Chócolo mazorca,VALLEDUPAR,,68.42479217708643,-2.665633927719502,10.726133869134035,12.629959091514209
Chócolo mazorca,VILLAVICENCIO,,52.96619827805862,-3.3246142932275125,12.984413938351436,10.578322094156057
Coco,ARMENIA,,17.551836688326915,18.314192529177788,7.170346599695376,34.51772446344823
Coco,BARRANQUILLA,,-11.60234406046079,19.11060031258158,45.345732015094775,23.065151113746364
Coco,"BOGOTÁ, D.C.",,-0.39567747298420164,34.37483334690672,18.02599373672107,31.66816982401308
Coco,CALI,,13.853449181163713,35.71450176754307,11.833983963110551,31.401522840118346
Coco,CARTAGENA DE INDIAS,,-13.783200355213143,16.68649056029585,32.12255998089195,16.562177918571486
Coco,MANIZALES,,7.037558338339278,33.00401868954861,24.807066550407143,21.773920600380613
Coco,MEDELLÍN,,-20.66926853913221,33.97853243267288,28.318001227677136,23.727247017379007
Coco,MONTERÍA,,-21.30404061981367,18.65437622963857,28.407313546586877,31.345780727160253
Coco,PEREIRA,,11.811118927849872,42.43643902486238,12.799673368531206,22.379353937505584
Coco,SINCELEJO,,-13.998966983193617,16.88882837756458,29.865531437049796,31.27297436311356
Coco,VALLEDUPAR,,-6.455196106498706,-100.0,inf,-100.0
Granadilla,ARMENIA,,32.90707097164267,11.895507047013275,16.32413491372622,5.387048673212469
Granadilla,"BOGOTÁ, D.C.",,76.90955419637098,5.091111782901536,18.300754482283587,12.266229576435993
Granadilla,BUCARAMANGA,,69.51048781256823,6.506325578547667,9.062149188681135,3.912976505257637
Granadilla,CALI,,72.6492580868546,3.009096146863155,8.7051567667481,18.19918544812107
Granadilla,CÚCUTA,,72.16944815708825,-100.0,,
Granadilla,IBAGUÉ,,76.25150985842133,10.45303978880936,1.8378521010620874,6.725291038838699
Granadilla,MANIZALES,,56.79592575311385,11.327611769005209,18.49800326117734,21.06990717710209
Granadilla,MEDELLÍN,,80.63286424125064,-8.085002798519225,13.145876271167989,7.245539478375029
Granadilla,NEIVA,,99.77434115760835,8.024790671218618,0.6800041067663853,10.849188976819878
Granadilla,PASTO,,86.48107206402132,-100.0,,
Granadilla,PEREIRA,,70.68607748152829,1.0937184402783906,13.18708557996764,10.720708205995999
Granadilla,POPAYÁN,,100.00807334182528,-2.081216610402803,21.946135530125833,11.770401880667203
Granadilla,SAN JOSÉ DE CÚCUTA,,,inf,10.296614609692112,4.74931627045414
Granadilla,TUNJA,,59.86282056022323,-2.5804453395376403,13.563028172826552,14.24335207042089
Granadilla,VILLAVICENCIO,,73.63977139540722,8.951809737511018,17.575287580467602,5.656993244105646
Guayaba*,ARMENIA,,39.23677560029073,36.486719100111074,2.32596134064742,8.263584062317575
Guayaba*,BARRANQUILLA,,36.31423927290929,22.81528009035254,8.48832009381777,0.16485764424574167
Guayaba*,"BOGOTÁ, D.C.",,22.822550659973984,-2.633620359149058,27.887377173091465,9.219886893150498
Guayaba*,BUCARAMANGA,,37.888544697894176,11.827236162862164,22.90014606309887,-4.927296612652476
Guayaba*,CALI,,45.43510652154454,14.012301505254365,8.116399127406826,-16.5714437190019
Guayaba*,CARTAGENA DE INDIAS,,29.291650753814523,10.58627598810915,6.574253303758537,-0.3650133550049506
Guayaba*,CÚCUTA,,29.23824993510362,-100.0,,
Guayaba*,IBAGUÉ,,51.57779746135836,20.889010073792093,13.86434229852398,-3.7873501237074114
Guayaba*,MANIZALES,,72.15904971360902,17.665891911072507,13.659914300820875,-15.236348910112563
Guayaba*,MEDELLÍN,,52.546706607444136,15.05118265931138,18.42926100249558,-9.405885125091418
Guayaba*,NEIVA,,54.5346893930579,28.493076620876877,10.695370960807505,-27.240134841764185
Guayaba*,PASTO,,11.47843709792471,6.8370599386440745,-3.851314287408636,-9.83939643325037
Guayaba*,PEREIRA,,40.43929499822929,20.900984160312852,14.828740833138387,1.0052647718579388
Guayaba*,POPAYÁN,,42.926879084967325,14.53037866287934,11.598140686802916,2.86057033685565
Guayaba*,SAN JOSÉ DE CÚCUTA,,inf,28.72928273132287,25.500450253956018,4.400376474351897
Guayaba*,SANTA MARTA,,,inf,-100.0,
Guayaba*,TUNJA,,33.631255022879735,23.64820161151875,6.514628004923062,-8.255867624213986
Guayaba*,VILLAVICENCIO,,26.22221998246268,14.9797588548227,20.799711465161973,3.629723393637918
Habichuela,ARMENIA,,45.222040900416374,2.9062259973277493,12.529314505924116,4.145409999719107
Habichuela,BARRANQUILLA,,38.488314124646195,-1.8644923448344675,14.341166801401206,9.288294093636829
Habichuela,"BOGOTÁ, D.C.",,58.49797367497609,-4.90198376662393,8.283912286424112,13.419633647561291
Habichuela,BUCARAMANGA,,67.27100214359487,-4.154425218708402,6.490087878061268,-6.538562720134589
Habichuela,CALI,,42.61293813287852,14.626099435443042,10.043290927249027,2.54711760006483
Habichuela,CARTAGENA DE INDIAS,,47.35514050351202,-3.076255036978237,16.420008343171677,11.533396351667546
Habichuela,CÚCUTA,,58.558780073245956,-100.0,,
Habichuela,IBAGUÉ,,63.017105751391455,-11.200224748085274,11.206358353743461,14.944912875434536
Habichuela,MANIZALES,,68.45432630637569,-10.27297892910114,12.727293197886613,3.859238293674583
Habichuela,MEDELLÍN,,40.48302262612429,-20.480145033892626,9.159191584357519,28.90650326475479
Habichuela,MONTERÍA,,34.953846153846136,-6.301601351895069,7.514939486211247,18.71716505862846
Habichuela,NEIVA,,67.03270546815365,-5.943927403892779,9.105719054279259,19.98909971528655
Habichuela,PASTO,,34.97909396866283,7.4188467065510855,-6.408498440560562,32.38262725369581
Habichuela,PEREIRA,,64.743751167963,-7.26037314733593,14.632817173302781,3.402847368686901
Habichuela,POPAYÁN,,62.10723839182337,3.5059933047766556,1.5778330111387184,25.95036129437638
Habichuela,SAN JOSÉ DE CÚCUTA,,inf,-19.47242640057889,7.8528600657965075,11.33328569009362
Habichuela,SANTA MARTA,,29.555693223710033,0.9150046117221811,6.9336146694657375,28.14811568799298
Habichuela,SINCELEJO,,41.53709205610865,-9.092236065241742,10.925776945928467,12.756433330105853
Habichuela,TUNJA,,62.38519270533105,-8.269429561372943,9.135611792362086,13.801109354236619
Habichuela,VALLEDUPAR,,32.8520130189341,-2.825986985154527,15.593497088345675,8.631355164854448
